trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.01, 'e': 0.9999500004166653}",20,0,-50.12521778857746,"{0: 12, 1: 3, 2: 5, 3: 0, 4: 0}",0
2,False,"{'a': 0.01, 'e': 0.9998000066665778}",25,0,-74.39143342078147,"{0: 16, 1: 5, 2: 3, 3: 0, 4: 1}",0
3,False,"{'a': 0.01, 'e': 0.9995500337489875}",30,0,-71.1650434600865,"{0: 22, 1: 2, 2: 5, 3: 0, 4: 1}",0
4,False,"{'a': 0.01, 'e': 0.9992001066609779}",25,0,-87.07576609382036,"{0: 15, 1: 2, 2: 6, 3: 2, 4: 0}",0
5,False,"{'a': 0.01, 'e': 0.9987502603949663}",20,0,-83.4260472036204,"{0: 14, 1: 1, 2: 3, 3: 1, 4: 1}",0
6,False,"{'a': 0.01, 'e': 0.9982005399352042}",30,0,-233.2106047571205,"{0: 17, 1: 2, 2: 6, 3: 1, 4: 4}",0
7,False,"{'a': 0.01, 'e': 0.9975510002532796}",20,0,-98.94542532477375,"{0: 13, 1: 1, 2: 3, 3: 2, 4: 1}",0
8,False,"{'a': 0.01, 'e': 0.9968017063026194}",25,0,-102.22766827714591,"{0: 15, 1: 4, 2: 4, 3: 1, 4: 1}",0
9,False,"{'a': 0.01, 'e': 0.9959527330119943}",25,0,-75.36744862117385,"{0: 18, 1: 2, 2: 3, 3: 1, 4: 1}",0
10,False,"{'a': 0.01, 'e': 0.9950041652780257}",25,0,-98.9407697703851,"{0: 15, 1: 5, 2: 3, 3: 1, 4: 1}",0
11,False,"{'a': 0.01, 'e': 0.9939560979566968}",25,13,-42.38751237708584,"{0: 7, 1: 1, 2: 3, 3: 1, 4: 0}",1
12,False,"{'a': 0.01, 'e': 0.9928086358538663}",30,1,-253.45040977389587,"{0: 16, 1: 4, 2: 3, 3: 1, 4: 5}",1
13,False,"{'a': 0.01, 'e': 0.9915618937147881}",30,0,-106.17685264476127,"{0: 20, 1: 3, 2: 5, 3: 1, 4: 1}",0
14,False,"{'a': 0.01, 'e': 0.9902159962126371}",25,0,-142.09012819145323,"{0: 14, 1: 4, 2: 4, 3: 1, 4: 2}",0
15,False,"{'a': 0.01, 'e': 0.9887710779360422}",20,0,-52.063683612929026,"{0: 13, 1: 2, 2: 5, 3: 0, 4: 0}",0
