trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.01, 'e': 0.9999500004166653}",20,0,-56.85638047417809,"{0: 10, 1: 6, 2: 4, 3: 0, 4: 0}",0
2,False,"{'a': 0.01, 'e': 0.9998000066665778}",30,0,-104.95211212511131,"{0: 17, 1: 3, 2: 9, 3: 1, 4: 0}",0
3,False,"{'a': 0.01, 'e': 0.9995500337489875}",30,0,-220.00945984221727,"{0: 14, 1: 5, 2: 7, 3: 1, 4: 3}",0
4,False,"{'a': 0.01, 'e': 0.9992001066609779}",20,0,-124.13363782174451,"{0: 10, 1: 5, 2: 1, 3: 3, 4: 1}",0
5,False,"{'a': 0.01, 'e': 0.9987502603949663}",20,0,-84.09918258146969,"{0: 11, 1: 3, 2: 4, 3: 2, 4: 0}",0
6,False,"{'a': 0.01, 'e': 0.9982005399352042}",20,0,-148.69756141388376,"{0: 10, 1: 5, 2: 1, 3: 2, 4: 2}",0
7,False,"{'a': 0.01, 'e': 0.9975510002532796}",20,0,-112.91346203534569,"{0: 12, 1: 1, 2: 4, 3: 2, 4: 1}",0
8,False,"{'a': 0.01, 'e': 0.9968017063026194}",20,0,-93.83323349326227,"{0: 11, 1: 4, 2: 3, 3: 1, 4: 1}",0
9,False,"{'a': 0.01, 'e': 0.9959527330119943}",20,0,-133.90933249132698,"{0: 10, 1: 1, 2: 6, 3: 2, 4: 1}",0
10,False,"{'a': 0.01, 'e': 0.9950041652780257}",20,0,-104.70828420846158,"{0: 9, 1: 1, 2: 9, 3: 1, 4: 0}",0
11,False,"{'a': 0.01, 'e': 0.9939560979566968}",20,3,-155.4980872455833,"{0: 9, 1: 2, 2: 2, 3: 1, 4: 3}",1
12,False,"{'a': 0.01, 'e': 0.9928086358538663}",25,0,-117.90984993592458,"{0: 14, 1: 5, 2: 3, 3: 2, 4: 1}",0
13,False,"{'a': 0.01, 'e': 0.9915618937147881}",20,0,-148.2561270068178,"{0: 10, 1: 1, 2: 7, 3: 0, 4: 2}",0
14,False,"{'a': 0.01, 'e': 0.9902159962126371}",25,0,-144.91548292100137,"{0: 16, 1: 1, 2: 4, 3: 2, 4: 2}",0
15,False,"{'a': 0.01, 'e': 0.9887710779360422}",20,0,-21.934836380741142,"{0: 16, 1: 2, 2: 1, 3: 1, 4: 0}",0
16,False,"{'a': 0.01, 'e': 0.9872272833756269}",25,0,-122.77227296527857,"{0: 17, 1: 3, 2: 1, 3: 2, 4: 2}",0
17,False,"{'a': 0.01, 'e': 0.9855847669095608}",30,0,-189.57126075803797,"{0: 16, 1: 1, 2: 10, 3: 1, 4: 2}",0
18,False,"{'a': 0.01, 'e': 0.9838436927881214}",20,0,-67.8748115632089,"{0: 10, 1: 4, 2: 6, 3: 0, 4: 0}",0
19,False,"{'a': 0.01, 'e': 0.9820042351172703}",30,0,-161.5408525705345,"{0: 17, 1: 7, 2: 3, 3: 0, 4: 3}",0
20,False,"{'a': 0.01, 'e': 0.9800665778412416}",35,0,-152.3002406978277,"{0: 20, 1: 4, 2: 7, 3: 4, 4: 0}",0
1,True,"{'a': 0.0, 'e': 0.0}",20,0,-49.704014826973925,"{0: 12, 1: 3, 2: 5, 3: 0, 4: 0}",0
2,True,"{'a': 0.0, 'e': 0.0}",20,5,-23.602342058194232,"{0: 12, 1: 0, 2: 2, 3: 1, 4: 0}",1
3,True,"{'a': 0.0, 'e': 0.0}",20,0,-109.79857585408386,"{0: 13, 1: 1, 2: 4, 3: 0, 4: 2}",0
4,True,"{'a': 0.0, 'e': 0.0}",25,0,-91.57069013250722,"{0: 14, 1: 3, 2: 6, 3: 2, 4: 0}",0
5,True,"{'a': 0.0, 'e': 0.0}",25,0,-142.18865420304041,"{0: 17, 1: 1, 2: 4, 3: 0, 4: 3}",0
6,True,"{'a': 0.0, 'e': 0.0}",25,0,-34.191703313052074,"{0: 20, 1: 1, 2: 3, 3: 1, 4: 0}",0
7,True,"{'a': 0.0, 'e': 0.0}",25,0,-139.08295343508536,"{0: 13, 1: 3, 2: 6, 3: 2, 4: 1}",0
8,True,"{'a': 0.0, 'e': 0.0}",20,0,-146.3282110936788,"{0: 10, 1: 0, 2: 8, 3: 0, 4: 2}",0
9,True,"{'a': 0.0, 'e': 0.0}",20,0,-91.50554138892262,"{0: 12, 1: 1, 2: 6, 3: 0, 4: 1}",0
10,True,"{'a': 0.0, 'e': 0.0}",25,0,-182.88541053756958,"{0: 16, 1: 1, 2: 3, 3: 2, 4: 3}",0
